question,bloom_level,source, language
Given two opposing theories design an experiment to compare them.,Create,figshare_exam_questions,en
How can we combine and abstract facts about a software system to create new knowledge?,Create,figshare_exam_questions,en
How could we determine the number of pennies in a jar without counting them?,Create,figshare_exam_questions,en
How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,Create,figshare_exam_questions,en
How could you re-write this story with a city setting?,Create,figshare_exam_questions,en
How do we efficiently combine multiple subject graphs to construct an aig with choice,Create,figshare_exam_questions,en
How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,Create,figshare_exam_questions,en
How many ways can you . . .?,Create,figshare_exam_questions,en
How to combine virtual symmetry and symbolic model checking effectively,Create,figshare_exam_questions,en
How would the U.S.A. be different if the South had won the Civil War?,Create,figshare_exam_questions,en
How would you change the story to create a different ending?,Create,figshare_exam_questions,en
How would you create/design a new...?,Create,figshare_exam_questions,en
How would you restructure the school day to reflect children's developmental needs?,Create,figshare_exam_questions,en
Identify one problem in the book and give an alternate solution one not given by the author.,Create,figshare_exam_questions,en
If you had access to all resources how would you deal with . . .?,Create,figshare_exam_questions,en
"Imagine that you are a relative of an older adult who is initially diagnosed to be living with Parkinson's disease, suggest FOUR (4) strategies to further promote the wellbeing of the individual.",Create,figshare_exam_questions,en
"Imagine that you are a relative of an older adult who survives stroke, suggest FOUR (4) strategies to further promote the wellbeing of the individual.",Create,figshare_exam_questions,en
"In order to achieve high economy growth the government can implement expansionary fiscal policy, however, the effect of an increase in government spending can be taken aback by crowding out effect. Recommend and graphically explain the action that can be taken by Bank Negara Malaysia (BNM) to avoid this problem.",Create,figshare_exam_questions,en
"In the renovation of a new car showroom, the client wishes to attract the attention of pedestrians who passes by their building. Propose the type of external envelop for this building and explain the reasons. Sketch the proposed external envelop.",Create,figshare_exam_questions,en
Integrate training from several sources to solve a problem.,Create,figshare_exam_questions,en
"Internal control system is among the most prominent monitoring mechanisms in promoting effective corporate governance. Assuming you are the manager of purchasing department, provide TWELVE (12) recommendations on how to prevent staffs from making personal gains from their positions.",Create,figshare_exam_questions,en
Invent a machine to do a specific task.,Create,figshare_exam_questions,en
"Japan is operating above the potential output level. As a committee member of central bank, suggest a policy that should be implemented in order to restore Japan's potential output level. Using appropriate diagram(s), explain the effect of the policy on price and unemployment level in short run and long run.",Create,figshare_exam_questions,en
"John Watson passed away and left behind a legal child, Mary Watson, as well as two girlfriends, Susan and Petty, who were in their 8 week of gestation. Susan claimed that she bore an illegitimate child of John Watson. Propose and design the most suitable paternity experiment to prove Susan's claim. You may outline your experiment using schematic diagram(s).",Create,figshare_exam_questions,en
Justify your choice of data structure.,Create,figshare_exam_questions,en
"KOMUGI offers a deliciously authentic variety of handmade Japanese breads, cakes and confectioneries. In 23th December 2017, KOMUGI will launch its first outlets in Perak which will be located in Jusco Kinta City, Ipoh. Your client KOMUGI would like to run a coupon promotion for perakian. Design a creative coupon with catchy messages, slogans and offers to attract the perakian.",Create,figshare_exam_questions,en
Make a radio announcement that advertise the book. Write it out.,Create,figshare_exam_questions,en
Make up a new language code and write material using it.,Create,figshare_exam_questions,en
Malaysian Code on Corporate Governance (MCCG 2017) encourages Board of Directors to improve shareholders' participations in decision making. Provide recommendations that will lead to more constructive use of Annual General Meeting (AGM).,Create,figshare_exam_questions,en
Name one character. Rewrite the story from this character's point of view.,Create,figshare_exam_questions,en
"One of the biggest challenges in corporate governance is to deal with manipulation of accounting profits. Propose NINE (9) suggestions to the Malaysian regulatory bodies on how to prevent manipulation of accounts. Your recommendations have to be new and must not overlap with the existing Malaysian laws, guidelines and systems.",Create,figshare_exam_questions,en
Organize this book into three or more sections and give your own subtitle for each section.,Create,figshare_exam_questions,en
Plan a research paper on a given historical topic,Create,figshare_exam_questions,en
Predict the differences of a planet with no seasonal changes.,Create,figshare_exam_questions,en
Prepare a book jacket that illustrates the kind of book as well as the story.,Create,figshare_exam_questions,en
Prepare a research proposal on a study that you have to conduct on the purchasing behaviour of teenagers in the Klang Valley.,Create,figshare_exam_questions,en
Pretend you are a librarian recommending this book to someone. Write a paragraph telling what you would say.,Create,figshare_exam_questions,en
Propose Java Web architecture diagram for the above case study and explain.,Create,figshare_exam_questions,en
Propose ONE (1) new local flavor Kit Kat for Malaysian consumers. Describe the need for the new flavor among the Malaysian consumer.,Create,figshare_exam_questions,en
Propose ONE (1) new local seafood flavor for Manhattan fish market's Malaysian consumers. Describe the need for the new flavor.,Create,figshare_exam_questions,en
Propose TWO (2) factors that are relevant to the initiation of conflict in group.,Create,figshare_exam_questions,en
Propose TWO (2) self-presentation tactics for impression management.,Create,figshare_exam_questions,en
Propose TWO (2) strategies that a minority opinion can overtake the majority and be accepted.,Create,figshare_exam_questions,en
Propose TWO (2) strategies to reduce the occurrence of bullying.,Create,figshare_exam_questions,en
Propose TWO (2) strategies to resist persuasion.,Create,figshare_exam_questions,en
"Propose a fertilizer placement method of nitrogen, phosphorus and potassium for a successful fertilization of a large mango tree. Justify your answer.",Create,figshare_exam_questions,en
Propose a line-up procedure that police departments can use to improve the accuracy. of eyewitness testimony. Support your proposal with ONE (1) relevant example. Elaborate your example in details.,Create,figshare_exam_questions,en
Propose a multimedia presentation for UTAR to promote bachelor's degree courses to potential applicants.,Create,figshare_exam_questions,en
Propose a set of alternatives for reducing dependence on fossil fuels that address both economic and environmental concerns.,Create,figshare_exam_questions,en
Propose a strategy that minority can use to influence the majority. Support your answer with ONE (1) relevant example. Elaborate your example in details.,Create,figshare_exam_questions,en
"Propose a suitable preparatory demolition survey, method and shoring where some partial demolition work is included for the rear building portion.",Create,figshare_exam_questions,en
Propose a suitable type of glass that is used to construct a transparent fiat roof for the entrance of the Heritage Hall in Universiti Tunku Abdul Rahman.,Create,figshare_exam_questions,en
Propose an admixture to increase the workability of concrete in the fresh state without reducing the engineering performance of the hardened concrete.,Create,figshare_exam_questions,en
Propose an alternative way to solve …,Create,figshare_exam_questions,en
Propose and explain a suitable enzyme-substrate interaction model for enzyme X.,Create,figshare_exam_questions,en
"Propose solutions to reinforced concrete flat roof defects experienced in Malaysia, such as water ponding, material exposure to solar radiation, poor maintenance culture and concrete spalling due to leaks from cold joints and stress cracks.",Create,figshare_exam_questions,en
Propose the examples of how text mining could be used in other businesses.,Create,figshare_exam_questions,en
Provide TWO (2) suggestions on how a Web presence help Columbiana's government.,Create,figshare_exam_questions,en
Rearrange it to design the correct schema that is suitable for the system implementation.,Create,figshare_exam_questions,en
Recommend THREE (3) factors to be taken into consideration on the preparation of digital video delivery via low bandwidth networks and low-end computer systems.,Create,figshare_exam_questions,en
Recommend appropriate data warehouse architecture for the company and illustrate it with a diagram.,Create,figshare_exam_questions,en
Recommend to the management whether to use MP3 or RealAudio file format images and state THREE (3) reasons for your recommendations.,Create,figshare_exam_questions,en
Revise and process to improve the outcome.,Create,figshare_exam_questions,en
Revise how to complete a complex task in order to improve the outcome.,Create,figshare_exam_questions,en
Revises and process to improve the outcome.,Create,figshare_exam_questions,en
"Rewrite the story briefly, but change someone or something in it. (For example, substitute a dog for a wolf in The Three Little Pigs).",Create,figshare_exam_questions,en
Rewrite the story from an animal’s point of view.,Create,figshare_exam_questions,en
"SUBWAY brand is the world's largest submarine sandwich chain with more than 44,000 locations around the world. This November, Subway is introducing two new combos as in the image provided below. Propose a rough layout of a poster to promote these new combos.",Create,figshare_exam_questions,en
"Search engines are key means of attracting traffic to websites. As a new marketing executive with Munchy's Malaysia, recommend THREE (3) tactics used in search engine marketing (SEM).",Create,figshare_exam_questions,en
Standard ad formats such as leaderboard and skyscraper are common in digital display advertising. Propose FIVE (5) other creative ad formats which are more interactive and engaging.,Create,figshare_exam_questions,en
State the problems that could arise from environmental overload of fixed nitrogen due to generous usage of nitrogen fertilizer and suggest a possible solution for this situation.,Create,figshare_exam_questions,en
Suggest FIVE (5) actions that Public Mutual Berhad (PMB) can consider in championing the institutional shareholder activism.,Create,figshare_exam_questions,en
Suggest FOUR (4) recommendations in dealing with intersexes.,Create,figshare_exam_questions,en
Suggest FOUR (4) strategies that facilitate early childhood development from the physiological psychology perspectives. Elaborate your answers with examples.,Create,figshare_exam_questions,en
Suggest FOUR (4) strategies that facilitate healthy adolescence development from the physiological psychology perspectives. Elaborate your answers with examples.,Create,figshare_exam_questions,en
Suggest FOUR (4) strategies that improve adolescents' sleep from the physiological psychology perspectives.,Create,figshare_exam_questions,en
Suggest FOUR (4) strategies that improve individuals' psychological well-being from the physiological psychology perspectives. Elaborate your answers with examples.,Create,figshare_exam_questions,en
Suggest FOUR (4) strategies that reduce sleep deprivation from the physiological psychology perspectives. Elaborate your answers with examples.,Create,figshare_exam_questions,en
Suggest FOUR (4) ways logistics service provider such as FedEx practices environmental friendly principles in its operation.,Create,figshare_exam_questions,en
Suggest THREE (3) ethical considerations that ANA advertisers should take into account in designing commercials.,Create,figshare_exam_questions,en
Suggest THREE (3) specific types of application software that may help to support James's business activities.,Create,figshare_exam_questions,en
Suggest THREE (3) steps that Annie should do in multimedia authoring.,Create,figshare_exam_questions,en
Suggest TWO (2) ways of managing knowledge that organization can perform in order to gain sustainable advantage in today's rapid changing market environment.,Create,figshare_exam_questions,en
Suggest TWO possible poultry breeds that Kaseem are breeding for Malaysia broiler industry.,Create,figshare_exam_questions,en
Suggest a house-style and editorial policies for your newly introduced newspaper targeted at young readers aged between 15 to 25 years.,Create,figshare_exam_questions,en
Suggest a possible Java Web architecture(s) for the proposed application based on the case study.,Create,figshare_exam_questions,en
Suggest a procedure which uses k-means as a subroutine with a better chance than k-means in obtaining good clustering.,Create,figshare_exam_questions,en
Suggest a technique that can overcome the problem of non-reusability for industrial enzyme applications.,Create,figshare_exam_questions,en
Suggest a type of metal for reinforcing a concrete structure.,Create,figshare_exam_questions,en
Suggest an alternative to Albert on how the above limitations may be overcome.,Create,figshare_exam_questions,en
Suggest and describe an assisted reproductive technique that the farm should use for rapid and cost effective production.,Create,figshare_exam_questions,en
Suggest and elaborate any TWO (2) efforts or methods that your company may use in order to gain competitive advantage over your competitors.,Create,figshare_exam_questions,en
Suggest and explain TWO (2) ways to measure a bank's profitability.,Create,figshare_exam_questions,en
Suggest any FIVE (5) dimensions of service quality that could be taken into consideration by the kindergarten management for its future operations improvement.,Create,figshare_exam_questions,en
Suggest any THREE (3) scenarios where users may benefit from using video calls in their communication.,Create,figshare_exam_questions,en
Suggest any THREE (3) specific ways with elaborations on how this new business may utilize the Internet technology to achieve cost efficiency.,Create,figshare_exam_questions,en
Suggest any TWO (2) efforts that organization may perform in order to discourage unethical behavior.,Create,figshare_exam_questions,en
Suggest the most suitable growth model that could be applied to describe the growth of above-mentioned Lactobacillus acidophilus strain. Briefly explain the suggested growth model.,Create,figshare_exam_questions,en
"Suggest your recommendation on the investment of KMK Corporation's common stock, if the stock price is traded at $25 currently.",Create,figshare_exam_questions,en
Support your answers with ONE (1) example for each factor.,Create,figshare_exam_questions,en
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Create,figshare_exam_questions,en
Synthesize any FIVE (5) factors that should be considered when devising a safe system to undertake a task in an organization.,Create,figshare_exam_questions,en
Synthesize the need for ventilation as an engineering control.,Create,figshare_exam_questions,en
The independence of external auditors is extremely critical due to their roles in providing true and fair view on a company financial position. Develop THREE (3) safeguards to reduce the threats on external auditors' independence.,Create,figshare_exam_questions,en
The internet is ideal for gathering people from all corners of the globe into communities with similar interests and tasks. Recommend THREE (3) ways that can be used to target online communities.,Create,figshare_exam_questions,en
"The tyrosinase-containing solution was dissolved in 50 mM potassium phosphate buffer containing 0.01 mM NaCl, pH 6.5, before applying to a DEAE Sephadex A50 column. Suggest and explain how the mobile phase should be modified to elute the bound tyrosinase.",Create,figshare_exam_questions,en
There is always an appeal for institutional shareholders to assume an active role in corporate governance. Create a list of key recommendations for institutional shareholders activism based on Myners Report (1995).,Create,figshare_exam_questions,en
"Use your imagination to create a picture about the story. Then, add one new thing that was not in the story.",Create,figshare_exam_questions,en
"Using information from the book about one of the main characters, rewrite the ending of the book.",Create,figshare_exam_questions,en
"Using transmission-gates, design and sketch a 4-to-1 multiplexer.",Create,figshare_exam_questions,en
"Using transmission-gates, design and sketch an 8-to-1 multiplexer.",Create,figshare_exam_questions,en
What hypotheses can you develop based on the data ? Why ?,Create,figshare_exam_questions,en
What ideas can you add to...?,Create,figshare_exam_questions,en
What might happen if you combined...?,Create,figshare_exam_questions,en
What solutions would you suggest for...?,Create,figshare_exam_questions,en
What would happen if . . .?,Create,figshare_exam_questions,en
What would you predict/infer from...?,Create,figshare_exam_questions,en
Why don’t you devise your own way to deal with . . .?,Create,figshare_exam_questions,en
Why not compose a song about . . .?,Create,figshare_exam_questions,en
Write 5 new titles for the story that would give a good idea of what it was about,Create,figshare_exam_questions,en
"Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",Create,figshare_exam_questions,en
Write a JAVA program to show the Overloading concept,Create,figshare_exam_questions,en
Write a Java program that lets the user enter a year and checks whether it is a leap year.,Create,figshare_exam_questions,en
"Write a TV show play, puppet show, role play, song or pantomime about..",Create,figshare_exam_questions,en
Write a journal from the point of view of mountaineer.,Create,figshare_exam_questions,en
Write a letter to the editor on a social issue of concern to you.,Create,figshare_exam_questions,en
Write a logically organized argument in favor of a given position.,Create,figshare_exam_questions,en
Write a poem about the story.,Create,figshare_exam_questions,en
Write a poem about this book.,Create,figshare_exam_questions,en
Write a program that uses nested loops to print the following output:,Create,figshare_exam_questions,en
"Write a program to calculate the SQRT for Array elements, you may use the Math class function (sqrt), the Array should include 5 Integer elements. The output should be the array elements along with their SQRT value.",Create,figshare_exam_questions,en
Write a set of rules to prevent what happened in the story.,Create,figshare_exam_questions,en
Write a short story relating a personal experience in the style of a picaresque novel.,Create,figshare_exam_questions,en
Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.,Create,figshare_exam_questions,en
Write about your feelings in relation to...,Create,figshare_exam_questions,en
Write an ABAP program that allows the user to key in a positive integer value.,Create,figshare_exam_questions,en
Write an essay in not more than 250 words about India and Technological Advancement. Use active voice as much as possible.,Create,figshare_exam_questions,en
Write an essay on the importance of comparative genomics.,Create,figshare_exam_questions,en
Write another ending to the story that is different from the author’s ending.,Create,figshare_exam_questions,en
You are a project manager working on a 8 storey building conservation project located in a congested urban area with poor soil bearing capacity and underground public utilities. Propose to the building owner why an internally braced shoring system is preferable to raking shore and weighted vertical dead shores.,Create,figshare_exam_questions,en
"You attempt to purify a single protein X from a complex mixture of proteins. Protein X has a large number of aspartic and glutamic acid residues and no lysine, arginine or histidine residues. Propose an adsorption column chromatography technique which could retain protein X but elute other contaminants at pH 7. State your assumption(s).",Create,figshare_exam_questions,en
"You attempt to purify a single protein X from a complex mixture of proteins. Protein X has a large number of aspartic and glutamic acid residues and no lysine, arginine or histidine residues. Suggest and explain a method to elute protein X from the column.",Create,figshare_exam_questions,en
You have been assigned by your employer to manage their Instagram and Facebook business page. Suggest FIVE (5) ways to increase engagement with your social media users.,Create,figshare_exam_questions,en
can you devise an explicit formula for,Create,figshare_exam_questions,en
design a cost effective strategy to generate reliable data.,Create,figshare_exam_questions,en
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",Create,figshare_exam_questions,en
how do we devise a way to enforce the laws,Create,figshare_exam_questions,en
"structure, sorts the list in ascending order, displays the list on the screen and stores the list",Create,figshare_exam_questions,en
"""An increase in the money supply will lead to an increase in the market equilibrium interest rate.” Comment and justify the above statement with an appropriate diagram.",Evaluate,figshare_exam_questions,en
"""Don’t use public instance variables"" is defensive programming techniques. discuss why it is good advice?",Evaluate,figshare_exam_questions,en
"""Firms can use existing brand names or create new brands on the internet"". Evaluate the above statement.",Evaluate,figshare_exam_questions,en
"""HTTP POST method is better suited to send confidential information compared to HTTP GET method in web applications."" Justify the statement.",Evaluate,figshare_exam_questions,en
"""Instead of focusing only on investing in local market, some investors also invest in foreign market"". Justify above statement by providing FOUR (4) benefits of investing in foreign market.",Evaluate,figshare_exam_questions,en
"""Microsatellite tandem repeats are abundant in human promoters and are associated with regulatory activity (Sawaya et al., 2013).” Discuss the statement and support your views with examples.",Evaluate,figshare_exam_questions,en
"""The monetary policy is always useful in stimulating the economic growth by increasing the money supply in the market."" Comment on this statement. Support your answer with an appropriate diagram.",Evaluate,figshare_exam_questions,en
A client wishes to renovate his balcony at first floor by replacing the metal handrail with glass panel. Recommend a suitable type of glass to the client and justify your answer. Please be reminded that safety is the major factor in all cases.,Evaluate,figshare_exam_questions,en
"A manager of a small company makes the following statement - ""We need to keep hiring additional workers up to the point where the marginal productivity of the last worker we hire is at its maximum. This way we can maximize the total productivity of the firm."" Critically evaluate this statement.",Evaluate,figshare_exam_questions,en
"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",Evaluate,figshare_exam_questions,en
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",Evaluate,figshare_exam_questions,en
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible",Evaluate,figshare_exam_questions,en
Alavi and Leidner (2001) examine how information technology (IT) can be a key enabler in supporting four organizational knowledge management (KM) processes. Critically assess the role of IT in supporting the four KM processes.,Evaluate,figshare_exam_questions,en
Appraise data in support of a hypothesis.,Evaluate,figshare_exam_questions,en
"Appraise the URL Rewriting, Hidden Form Field and Cookies methods which are supported by the technology.",Evaluate,figshare_exam_questions,en
Appraise the speech's effectiveness based upon the class' criteria.,Evaluate,figshare_exam_questions,en
Are there students who should not use the Cornell method?,Evaluate,figshare_exam_questions,en
Are you a . . . person?,Evaluate,figshare_exam_questions,en
Argue critically with relevant examples.,Evaluate,figshare_exam_questions,en
Argue the case for conducting experimental research involving humans and propose guidelines to ensure that the dignity and welfare of the subjects are maintained.,Evaluate,figshare_exam_questions,en
"As a fermentation technologist, you are required to maximise the production of citric acid through chemostat process. The chemostat process is going to be operated at dilution rate of 0.25 h-1 with 30 g/L of sucrose concentration in the feeding tank. Evaluate the possibilities in employing chemostat for citric acid production.",Evaluate,figshare_exam_questions,en
"As an educator, evaluate FIVE (5) advantages and FIVE (5) disadvantages of using technology in education.",Evaluate,figshare_exam_questions,en
"As opposed other curves, justify with explanation why Average Fixed Costs (AFC) is negatively sloped.",Evaluate,figshare_exam_questions,en
Assess THREE (3) brain structures that are associated with movement. Elaborate your answers with example.,Evaluate,figshare_exam_questions,en
Assess THREE (3) brain structures that are associated with the language / speech function. Elaborate your answers with example.,Evaluate,figshare_exam_questions,en
"Assess THREE (3) brain structures that are associated with wakefulness, arousal, and sleep. Elaborate your answers with example.",Evaluate,figshare_exam_questions,en
Assess the appropriateness of an author's conclusions based on the evidence given.,Evaluate,figshare_exam_questions,en
Assess the importance of understanding seasonal patters.,Evaluate,figshare_exam_questions,en
Assess the reason for hazard communication and the mode of communication practice for chemical safety at worksite.,Evaluate,figshare_exam_questions,en
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,Evaluate,figshare_exam_questions,en
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,Evaluate,figshare_exam_questions,en
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",Evaluate,figshare_exam_questions,en
Barbie Dolls have been banned in some of countries. Provide FOUR (4) countries and evaluate the reason behind the ban.,Evaluate,figshare_exam_questions,en
"Based on the social learning perspective, propose a strategy that able to reduce or eliminate prejudice. Support your strategy with ONE (1) relevant example. Elaborate your example in details.",Evaluate,figshare_exam_questions,en
"Based on your knowledge on the physics of semiconductors, evaluate the limit for the minimum feature size of silicon MOSFET.",Evaluate,figshare_exam_questions,en
"Based on your observation of the local newspaper industry, discuss and state your stance on whether gender affects professional news selection.",Evaluate,figshare_exam_questions,en
"Based on your opinion, discuss critically, how far you agree that race relations have become unhealthy in our country.",Evaluate,figshare_exam_questions,en
"Bernard has successfully determined the sequence of Protein X which consists of 110 amino acid residues. He is interested to predict the protein struc using the available homology modelling software. Based on your knowledge of the mechanism of protein folding, comment on the reliability and accuracy of the prediction.",Evaluate,figshare_exam_questions,en
Briefly describe the general properties of plastic in terms of strength and durability. Comment also why plastic is not suitable to use as reinforcement bar for concrete structure.,Evaluate,figshare_exam_questions,en
"By assuming other factors (pH, water content and etc.) are being equal in clay loam and sandy loam, state which soil would be expected to have higher organic matter content. Justify your answer.",Evaluate,figshare_exam_questions,en
Can you assess the value or importance of . . . ?,Evaluate,figshare_exam_questions,en
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,Evaluate,figshare_exam_questions,en
Can you defend your position about . . .?,Evaluate,figshare_exam_questions,en
Can you defend your position about ... ?,Evaluate,figshare_exam_questions,en
Can you justify the decisions you have made ?,Evaluate,figshare_exam_questions,en
Choose a paint schedule for the maintenance of an outdoor structure? (level 2),Evaluate,figshare_exam_questions,en
Choose and illustrate the two most important events in the story.,Evaluate,figshare_exam_questions,en
Comment on the importance of comparative genomics research.,Evaluate,figshare_exam_questions,en
Comment on the introduction of seven “_” in the alignment.,Evaluate,figshare_exam_questions,en
Comment on the most appropriate methods in which to deliver such a presentation and also address the merits of the methods you suggest in your solution.,Evaluate,figshare_exam_questions,en
Comment on the validity of your answer.,Evaluate,figshare_exam_questions,en
"Comment on the values that were generated for “Identities” and “Positives"".",Evaluate,figshare_exam_questions,en
Conclude and support which economic system leads to a higher standard of living.,Evaluate,figshare_exam_questions,en
Construct a poster that will advertise your new food product in an exciting and irresistible way.,Evaluate,figshare_exam_questions,en
Critically appraise of making data warehouse Web Enable in the company.,Evaluate,figshare_exam_questions,en
"Critically appraise the five competitive forces encased within Porter's ""FIVE FORCES"" model within the context of a profit-oriented organization and discuss the threat posed to the firm by each of these forces.",Evaluate,figshare_exam_questions,en
"Critically appraise the five competitive forces encased within Porter's ""Five Forces"" model within the context of a profit-oriented organisation and discuss the threat posed to the firm by each of these forces.",Evaluate,figshare_exam_questions,en
Critically evaluate the JDBC and pooling method in the context of database connections.,Evaluate,figshare_exam_questions,en
Critically review how a shift in the mental model with a different set of assumptions could change Yahoo.,Evaluate,figshare_exam_questions,en
"Critically review the strengths, weaknesses, opportunities and threats of Associated Meats Sdn Bhd in light of the forecast trends and developments.",Evaluate,figshare_exam_questions,en
Critique an experimental design or a research proposal.,Evaluate,figshare_exam_questions,en
"Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",Evaluate,figshare_exam_questions,en
Currently the product life cycle for Apple iPod is in the 'growth stage'. Provide evidence to support your answer.,Evaluate,figshare_exam_questions,en
Cyrus claimed that placentomes could be observed using a transabdominal probe to scan both pregnant sow and doe on day-20 of gestation. Justify whether his claim is true or false.,Evaluate,figshare_exam_questions,en
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,Evaluate,figshare_exam_questions,en
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,Evaluate,figshare_exam_questions,en
Decide whether you learned enough about electricity from this book.,Evaluate,figshare_exam_questions,en
Decide which candidate would best fill the position of principal.,Evaluate,figshare_exam_questions,en
Decide which course of action was most effective,Evaluate,figshare_exam_questions,en
Decide which method of solving a problem was most effective,Evaluate,figshare_exam_questions,en
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,Evaluate,figshare_exam_questions,en
Defend your use of a specific strategy in solving the problem.,Evaluate,figshare_exam_questions,en
Describe the FOUR (4) main phases of The Hawthorne Studies. Support your description with the significance of each of the phases.,Evaluate,figshare_exam_questions,en
Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,Evaluate,figshare_exam_questions,en
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,Evaluate,figshare_exam_questions,en
Determine if a character’s actions were heroic,Evaluate,figshare_exam_questions,en
Determine which Angus bull is the heaviest. Justify your answer.,Evaluate,figshare_exam_questions,en
Determine which Angus bull would produce the heaviest offspring (on average). Justify your answer.,Evaluate,figshare_exam_questions,en
Develop a proof ... and justify each step ...,Evaluate,figshare_exam_questions,en
Differentiate between classification and prediction. Justify your answer using an example for each.,Evaluate,figshare_exam_questions,en
Discuss THREE (3) factors influencing the conflict management process. Support each of your answers with ONE (1) relevant example.,Evaluate,figshare_exam_questions,en
"Discuss critically, by using your understanding of nature and nurture.",Evaluate,figshare_exam_questions,en
Discuss how far you agree with this statement with emphasis on circulation management of a newspaper company.,Evaluate,figshare_exam_questions,en
"Discuss the extent to which it is feasible for a company to 'operationalise' its social responsibility Spirations, that is, whether it is possible to bring these considerations into strategic decision-making in a programmed or systematic way.",Evaluate,figshare_exam_questions,en
Discuss the extent to which the existence of a conflict between a company's objectives is acceptable.,Evaluate,figshare_exam_questions,en
"Discuss the role of an infomediary in the online distribution system and evaluate the benefits of this type of distribution system to the consumer, infomediary and advertiser.",Evaluate,figshare_exam_questions,en
Distinguish central and peripheral routes to information processing. Support your answer with TWO (2) relevant examples. Elaborate your examples in details.,Evaluate,figshare_exam_questions,en
Do you agree...?,Evaluate,figshare_exam_questions,en
Do you think . . . is a good or a bad thing?,Evaluate,figshare_exam_questions,en
Do you think that this statement conveys the idea that i am trying to portray,Evaluate,figshare_exam_questions,en
Establish criteria for making this choice and defend your final selection.,Evaluate,figshare_exam_questions,en
Estimate expenditure on HIV/AIDS education,Evaluate,figshare_exam_questions,en
Estimate roughly how long the collision process takes,Evaluate,figshare_exam_questions,en
Estimate the difficulty of the question,Evaluate,figshare_exam_questions,en
Estimate the epicentral coordinates of the earth-quake,Evaluate,figshare_exam_questions,en
Estimate the risk of serious illness for consumers in different susceptible population groups,Evaluate,figshare_exam_questions,en
Evaluate THREE (3) neurocognitive difficulties that may be experienced by people with suicidal-related behaviors.,Evaluate,figshare_exam_questions,en
Evaluate TWO (2) strategies that have been implemented by McDonald's Malaysia in handling the crisis. Provide a justification and an example to support your answer for each of the strategies.,Evaluate,figshare_exam_questions,en
"Evaluate a work of art, giving the reasons for your evaluation.",Evaluate,figshare_exam_questions,en
Evaluate any FIVE (5) power bases. Provide a relevant example for each power base.,Evaluate,figshare_exam_questions,en
Evaluate appropriate and inappropriate actions of characters.,Evaluate,figshare_exam_questions,en
Evaluate board games and justify why rules are important.,Evaluate,figshare_exam_questions,en
Evaluate how the increase of the transconductance affects the operation of the transistor.,Evaluate,figshare_exam_questions,en
Evaluate if the contact is ohmic or rectifying (Schottky diode) in nature. Provide the analysis and support your answer with calculation,Evaluate,figshare_exam_questions,en
Evaluate the appropriateness of drugs advertising by the pharmaceutical firms.,Evaluate,figshare_exam_questions,en
Evaluate the benefits and drawbacks of artificial drainage.,Evaluate,figshare_exam_questions,en
Evaluate the characteristics of the board in a two-tier board structure.,Evaluate,figshare_exam_questions,en
Evaluate the corrosion monitoring needs of a chemical processing plant,Evaluate,figshare_exam_questions,en
"Evaluate the differences between the common, facing and engineering bricks in characteristics and use.",Evaluate,figshare_exam_questions,en
Evaluate the functions of the component of a structural floor.,Evaluate,figshare_exam_questions,en
Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4),Evaluate,figshare_exam_questions,en
"Evaluate the nature and effect of significant ""entry barriers"" on the formulation of a strategic plan for a business which is already established in the industry.",Evaluate,figshare_exam_questions,en
Evaluate the need for ethics in research.,Evaluate,figshare_exam_questions,en
"Evaluate the performance of Malaysian newspapers and comment on what you think they should do to win back readers, particularly those who show preference for online news.",Evaluate,figshare_exam_questions,en
Evaluate the three specific effects caused by the applications of information technology on the nature of competition.,Evaluate,figshare_exam_questions,en
Evaluate the types of power Benjamin Fang is exercising in Sun Plantations and explain how this is being eroded by the changes taking place in the environment.,Evaluate,figshare_exam_questions,en
"Evaluate the types of power Benjamin Fang is exercising in Sun Plantations, and explain how this is being eroded by the changes taking place in the environment.",Evaluate,figshare_exam_questions,en
